feature_index,feature_name
3,ANK_x_std
5,ANK_y_mean
6,ANK_y_min
10,ANK_z_min
11,ANK_z_std
13,ASI_x_mean
14,ASI_x_min
18,ASI_y_min
19,ASI_y_std
21,ASI_z_mean
22,ASI_z_min
26,AnkleAngles_x_min
28,AnkleAngles_y_max
29,AnkleAngles_y_mean
39,AnkleForce_x_std
49,AnkleMoment_x_mean
50,AnkleMoment_x_min
56,AnkleMoment_z_max
57,AnkleMoment_z_mean
58,AnkleMoment_z_min
59,AnkleMoment_z_std
60,AnklePower_max
64,AnklePower_n_mean
65,AnklePower_n_min
66,AnklePower_n_std
67,AnklePower_range
69,BF_n_max
71,BF_n_min
72,BF_n_std
77,BHD_x_max
78,BHD_x_mean
79,BHD_x_min
80,BHD_x_std
82,BHD_y_mean
85,BHD_z_max
88,BHD_z_std
92,C7_x_std
95,C7_y_min
96,C7_y_std
97,C7_z_max
99,C7_z_min
100,C7_z_std
101,CLAV_x_max
103,CLAV_x_min
104,CLAV_x_std
108,CLAV_y_std
110,CLAV_z_mean
112,CLAV_z_std
113,CLA_x_max
116,CLA_x_std
119,CLA_y_min
120,CLA_y_std
121,CLA_z_max
123,CLA_z_min
126,CLL_x_mean
128,CLL_x_std
130,CLL_y_mean
131,CLL_y_min
134,CLL_z_mean
137,CLO_x_max
138,CLO_x_mean
139,CLO_x_min
141,CLO_y_max
142,CLO_y_mean
143,CLO_y_min
144,CLO_y_std
148,CLO_z_std
150,CLP_x_mean
152,CLP_x_std
153,CLP_y_max
154,CLP_y_mean
156,CLP_y_std
157,CLP_z_max
160,CLP_z_std
162,CentreOfMass_x_mean
163,CentreOfMass_x_min
165,CentreOfMass_y_max
167,CentreOfMass_y_min
168,CentreOfMass_y_std
169,CentreOfMass_z_max
170,CentreOfMass_z_mean
173,ELB_x_max
174,ELB_x_mean
176,ELB_x_std
178,ELB_y_mean
181,ELB_z_max
185,ERS_n_max
186,ERS_n_mean
187,ERS_n_min
188,ERS_n_std
191,HEDA_x_min
193,HEDA_y_max
194,HEDA_y_mean
195,HEDA_y_min
196,HEDA_y_std
199,HEDA_z_min
200,HEDA_z_std
201,HEDL_x_max
203,HEDL_x_min
205,HEDL_y_max
207,HEDL_y_min
208,HEDL_y_std
209,HEDL_z_max
211,HEDL_z_min
215,HEDO_x_min
216,HEDO_x_std
219,HEDO_y_min
222,HEDO_z_mean
223,HEDO_z_min
225,HEDP_x_max
229,HEDP_y_max
230,HEDP_y_mean
231,HEDP_y_min
232,HEDP_y_std
234,HEDP_z_mean
237,L1_x_max
239,L1_x_min
245,L1_z_max
246,L1_z_mean
247,L1_z_min
251,L3_x_min
252,L3_x_std
253,L3_y_max
254,L3_y_mean
255,L3_y_min
256,L3_y_std
259,L3_z_min
260,L3_z_std
262,L5_x_mean
265,L5_y_max
269,L5_z_max
271,L5_z_min
272,L5_z_std
274,PELA_x_mean
275,PELA_x_min
276,PELA_x_std
279,PELA_y_min
280,PELA_y_std
288,PELL_x_std
289,PELL_y_max
292,PELL_y_std
294,PELL_z_mean
295,PELL_z_min
298,PELO_x_mean
299,PELO_x_min
301,PELO_y_max
302,PELO_y_mean
303,PELO_y_min
304,PELO_y_std
305,PELO_z_max
308,PELO_z_std
309,PELP_x_max
311,PELP_x_min
313,PELP_y_max
316,PELP_y_std
318,PELP_z_mean
319,PELP_z_min
320,PELP_z_std
322,SACR_x_mean
323,SACR_x_min
325,SACR_y_max
326,SACR_y_mean
328,SACR_y_std
329,SACR_z_max
330,SACR_z_mean
331,SACR_z_min
341,STRN_z_max
346,T10_x_mean
347,T10_x_min
349,T10_y_max
350,T10_y_mean
353,T10_z_max
354,T10_z_mean
355,T10_z_min
356,T10_z_std
368,TRXA_z_std
369,TRXL_x_max
371,TRXL_x_min
372,TRXL_x_std
373,TRXL_y_max
376,TRXL_y_std
379,TRXL_z_min
